Date,Min_Temp,Max_Temp,Rainfall,Wind_Direction,Wind_Speed
04-01-2021,9.0,22.7,0.0,NE,NE
05-01-2021,14.6,19.3,0.4,E,E
06-01-2021,13.8,20.3,0.2,E,E
07-01-2021,15.4,29.4,2.6,W,W
08-01-2021,11.3,17.2,2.8,SW,SW
09-01-2021,11.3,20.3,0.2,E,E
10-01-2021,12.7,20.2,1.4,E,E
11-01-2021,12.2,17.7,0.0,S,S
12-01-2021,13.5,21.3,0.0,NE,NE
13-01-2021,16.1,25.1,0.0,E,E
14-01-2021,14.9,25.3,0.0,S,S
15-01-2021,15.5,22.4,0.0,E,E
16-01-2021,16.5,21.9,0.0,E,E
17-01-2021,14.0,26.7,7.8,N,N
18-01-2021,11.2,23.8,0.0,NW,NW
19-01-2021,9.5,27.8,0.2,NW,NW
20-01-2021,8.8,20.3,0.0,NW,NW
21-01-2021,11.5,18.1,6.4,SW,SW
22-01-2021,6.9,20.4,0.2,NE,NE
23-01-2021,10.5,27.8,0.0,NW,NW
24-01-2021,6.1,26.9,0.0,W,W
25-01-2021,9.6,29.7,0.0,SW,SW
26-01-2021,12.2,37.1,0.0,NW,NW
27-01-2021,14.7,35.8,0.0,NW,NW
28-01-2021,10.4,22.7,9.6,S,S
29-01-2021,7.1,17.6,5.2,S,S
30-01-2021,10.1,19.6,0.2,E,E
31-01-2021,8.1,20.3,0.0,E,E
01-02-2021,12.4,24.2,0.0,E,E
02-02-2021,13.3,21.9,0.0,E,E
03-02-2021,15.0,23.5,0.0,S,S
04-02-2021,8.0,18.1,0.0,S,S
